id,place_id,name,رستوران,کافی شاپ,قنادی,غیره,latitude,longitude,rating,priceClass,address,city,slug,ایرانی,کافه,شیرینی فروشی,سفره خانه,قهوه‌خانه,کبابی,تهیه غذا و کیترینگ,فست فود,بستنی فروشی,آبمیوه فروشی,پیتزایی,برگر,ترکیه‌ای,ساندویچی,بوتیک کیک,غذای سالم و گیاهی,آش و حلیم,نان و شیرینی,طباخی,ایتالیایی,فرنگی,غذای دریایی,چای خانه,فودکورت,کافی بار,گیلکی,لبنانی,باربیکیو,گیاهی,مکزیکی,هندی,بوفه ,عربی,گریل,اسنک و شیرینی,فینگرفود,مدیترانه ای
1672,c1b5a38e-cc48-4f30-9386-41ae56d6c062,پرپروک (پاسداران),TRUE,FALSE,FALSE,FALSE,35.7707748,51.4673729,8.4,2,"پاسداران، تقاطع داوود اسلامی و گلستان ۵، پلاک ۶۰",تهران,perperook_pasdaran,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1673,a3d447bf-aa7c-4024-a1b2-9f8e8f5fbeda,ژوزک (پاسداران),FALSE,TRUE,FALSE,FALSE,35.7705956,51.4671364,6.7,2,"پاسداران، تقاطع داود اسلامی و گلستان پنجم، پلاک 60",تهران,zhozak_pasdaran,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1674,599e3f0f-5ac0-44e2-b961-6d9fce5d708d,مینی میل (پاسداران),TRUE,FALSE,FALSE,FALSE,35.7705956,51.4671364,0,2,"پاسداران، تقاطع داود اسلامی و گلستان پنجم",تهران,mini_meal_pasdaran,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1675,0ca71095-819e-4f92-aed6-5c5ee1aebbb6,بولک ویچ (پاسداران),TRUE,FALSE,FALSE,FALSE,35.7740936,51.4662476,7,2,"پاسداران، مابین گلستان هشتم و نهم، مقابل پمپ بنزین، پلاک ۴۵۲",تهران,bullkwich_pasdaran,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1676,e4b4f40a-81d0-4c1b-a396-728848a4a878,پای,TRUE,FALSE,FALSE,FALSE,35.7827644,51.46699,8.1,2,"پاسداران، بهارستان دوم، خیابان غیاثوند، پلاک ۱۵
",تهران,piepizza,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1677,eccb18b0-a0b8-46ba-a6ea-0d23e5f60ab4,اژدر زاپاتا (پاسداران),TRUE,FALSE,FALSE,FALSE,35.78117,51.4666,3.8,2,"چهاراه پاسداران،ابتدای دولت،نبش کوچه نوباوه،پلاک۳۹",تهران,azhdar_pasdaran,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1678,5159bc9e-00f4-4a36-9c86-2ea0608258ce,پوسار,TRUE,FALSE,FALSE,FALSE,35.7693138,51.4663544,0,2,"پاسداران،خیابان اسلامی ،نبش گلستان سوم
",تهران,pusar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1679,dd7b2a40-dd07-4dc3-8248-74771cb2f62f,دوزلی,TRUE,FALSE,FALSE,FALSE,35.7608337,51.4684,7.7,2,"پاسداران، بوستان2، انتهای خیابان گیلانی، خیابان مجیدافشاری(ساقدوش) ",تهران,dozli,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1680,be974a05-ed9b-4eca-8350-c9cf0b71eed4,دوبرا (پاسداران),TRUE,TRUE,FALSE,FALSE,35.768898,51.466156,7.6,2,"پاسداران،خيابان داوود اسلامي،بين گلستان دوم و سوم
",تهران,doberaa_pasdaran,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1681,88e9d2c8-fbee-45b1-9630-49f65dfa6625,الف (پاسداران),FALSE,FALSE,TRUE,FALSE,35.77704,51.4655342,3.8,2,"خیابان پاسداران،بین بهستان هشتم و نهم",تهران,alef_pasdaran,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1682,6e96517e-4f87-4c48-84af-fc7517ca0fc4,عمو هوشنگ و پسران,TRUE,FALSE,FALSE,FALSE,35.7815361,51.46591,8.1,2,"چهار راه پاسداران،خیابان دولت،خیابان شهیدغیاثوند ،پلاک ۴",تهران,amoohoshang_pesaran,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1683,876cae3a-dfc6-40ce-a155-7c666c3bdbf4,شاندیز ماهان رویال (پاسداران),TRUE,FALSE,FALSE,FALSE,35.7766228,51.4653358,9.3,3,"پاسداران، نبش بهستان هشتم، پلاک ۱",تهران,shandizmahanroyal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1684,26cb1ca7-8d96-467d-906b-24c08ba9e627,شاندیز ماهان (پاسداران),TRUE,FALSE,FALSE,FALSE,35.7768326,51.4653244,8.8,3,"پاسداران ، نبش بهستان هشتم",تهران,shandizmahan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1685,e0394631-e042-4da4-9568-a90216a580a3,پیتزا دایی,TRUE,FALSE,FALSE,FALSE,35.7811623,51.4657555,0,2,"پاسداران، ابتدای دولت، نبش خیابان غیاثوند، پلاک ۴",تهران,pizza_daei,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1686,592601cf-bdc7-4958-ba96-71e80d0d3f1d,پنجاه و دو هرتز,TRUE,TRUE,FALSE,FALSE,35.76845,51.4657745,0,2,"پاسداران، خیابان اسلامی، بین گلستان ۱ و ۲
",تهران,52hz_cafe,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1687,0dcb9655-e630-4eee-af79-59c7b75a3176,دایی,TRUE,FALSE,FALSE,FALSE,35.7812462,51.4656258,6.2,2,"پاسداران،میدان اختیاریه،ضلع شمال میدان، پلاک 6",تهران,daei,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1688,37d91cfb-1266-46f1-a0c4-d072708c6c44,کلاتو,TRUE,TRUE,FALSE,FALSE,35.77598,51.46476,0,2,"پاسداران نبش بهستان ۷ پلاک۴۱۸
",تهران,celato,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1689,694b420a-fb31-1992-63f6-95351c1f047a,ساقدوش,TRUE,TRUE,FALSE,FALSE,35.7593346,51.46788,7.4,2,پاسداران انتهای بوستان دوم شهید اخوان خیابان ساقدوش جنب تالار ساقدوش,تهران,saghdoosh,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1690,282aa39e-1294-4335-9fda-3ba9bb1ef459,سعید,TRUE,FALSE,FALSE,FALSE,35.78635,51.4662437,8.6,2,"پاسداران،ضلع جنوب میدان اختیاریه،پلاک۲۳۷

",تهران,saied_halim,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1691,cdb0c3bb-6756-40a6-9542-9896e1a7a7cb,چیمنی (پاسداران),FALSE,TRUE,FALSE,FALSE,35.7753677,51.4644356,7.6,2,"خیابان پاسداران ، بین گلستان 8و9",تهران,chimney,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1692,74807674-6353-4d7a-b1f3-a9c6ace9fb52,دوپیانو,TRUE,TRUE,FALSE,FALSE,35.7754,51.4642525,7,2,"‎پاسداران،بین بهستان ٥ و بهستان۶",تهران,dopiano,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1693,81e8fe91-94a4-493b-9468-417cd1f60fda,آناندا,TRUE,FALSE,FALSE,FALSE,35.7782021,51.4643059,8.7,1,"خیابان پاسداران، بهستان دهم، اختیاریه جنوبی، جنب مخابرات پلاک 18",تهران,ananda2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1694,d69453d4-169c-4c41-b38b-da9a1de4caa6,چاکوچ (پاسداران),TRUE,FALSE,FALSE,FALSE,35.7782478,51.4643822,0,2,"پاسداران، بهستان 10، ابتدای نیلوفر، پلاک22

",تهران,chukooch_pasdaran,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1695,76da456f-9c19-4c2d-846c-0456d6b80ee4,علاالدین,TRUE,FALSE,FALSE,FALSE,35.7793159,51.4644127,6.7,2,"پاسداران، خیابان دولت، خیابان اختیاریه جنوبی، پلاک 37",تهران,alaedin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1696,e361e01a-495c-4c87-a69f-6f7e715ea089,حلیم مجید,TRUE,FALSE,FALSE,FALSE,35.7858124,51.4657631,9.4,2,"پاسداران، خیابان شهید کلاهدوز، خیابان اختیاریه جنوبی، کوچه شیفان، پلاک ۲۳۵",تهران,majid_halim,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1697,643010c0-1958-43ea-b016-f2680d5d8ae5,بامیکا (پاسداران),TRUE,FALSE,FALSE,FALSE,35.77815,51.46421,0,2,"پاسداران، بهستان دهم، ضلع جنوب غربی چهار راه نیلوفر، پلاک 20
",تهران,bamika_pasdaran,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1698,0a9318c8-8dea-48d9-bf8e-488cf8151f04,سیصد و شصت و پنج,FALSE,TRUE,FALSE,FALSE,35.7785568,51.4642563,0,2,"اختیاریه جنوبی،روبه روی بوستان 22 بهمن",تهران,cafe365,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
