id,restaurant_id,work_hour
135,8a791120-7e01-4531-80da-dd21c2b77e71,Oct-24
136,888206a8-ff7b-484f-866f-53be5a75d9d1,Oct-24
137,5d9c6181-342a-4f4f-ae0a-16409471f716,Aug-23
138,41019dfd-ac36-4a2c-b916-446d213cf11e,Dec-24
139,a462311a-f642-4152-9339-3a4d4c759b25,10:30-24
140,63f8a567-8539-46c3-8a09-a183e3f853cd,Dec-23
141,84891340-b19c-4f5f-b0ec-c3602f8a4187,Aug-24
142,9f984edf-147b-457f-a847-038fdac9040b,12-15/18-23
143,7ba7a648-23b5-4538-983c-06355d1a77d7,17-24
144,856ae53e-1979-4a9f-8ba1-6c56bf275bc9,Dec-24
145,be4d4722-5fad-42e7-9600-5b3de836b6f3,Dec-24
146,0c5aa29d-738d-46f7-acc8-bf05bb94742e,Dec-24
147,8ea3dc21-441d-4db5-85b8-ab6de492481b,10:30-22
148,260aceca-d925-49bd-bf13-abacf3e5586c,Oct-23
149,f567eabb-932a-4465-b823-652fa1d0ce85,11-15/18-23
150,41e99a1f-997e-4ec0-8d15-16d1e3b237c6,Oct-22
151,fe5aef75-4441-4d48-8b6e-510e81e11135,10-14/20-22:30
152,293d6ee4-a359-4ce1-8ad4-91b65a7bcaeb,Nov-24
153,9ccb3679-fc0b-4f71-96f4-cb65d3e027ef,12-15/18-23
154,6bf3141a-6fcb-4e82-99b6-607f87d05677,Dec-24
155,b46feb4a-8670-41b9-a0a2-5af5a317fbcd,8:30-24
156,f9eba58f-5b4f-4121-9618-9ac0608ae8fe,Dec-23
157,9f6a892e-3d86-4853-a856-e9b12986858d,Nov-24
158,47190a38-e194-4e92-9e32-1a904a49c11c,Dec-24
159,4603dd89-ed27-4725-90bd-588cd00ed6e8,Oct-23
160,728efaf4-7f3f-4296-aaa3-9b84e7cc5765,Dec-23
161,f00125c2-d063-4aba-822f-015b83e34856,Aug-23
162,7b7556d2-692d-4765-b79a-2fe3924ccc40,Sep-22
163,6fa64210-dc0e-4557-ac5e-eae7c554cf40,12-15/19-23
164,2e5454b4-6c53-42ed-a537-9b154f94bf4f,11:30-23
165,e2ae0f49-db72-4c3a-a2eb-83545ee73ef0,Nov-24
166,f290e955-5417-41de-b4ec-7da5fa0d5b5a,8:30-23
167,adb6e244-3c69-4cc1-aeb5-1a0db9282b34,Dec-22
168,2ccf6c86-6554-4356-abb2-2aa3bc5d059f,12-15/19:30-23
169,46a6f4a9-d694-426b-8bf1-ac46dfc7ec26,12-15/19-22:30
170,7f3a996a-f53f-4fc0-ab8f-702177ceed24,Oct-23
171,1328fdf8-66d9-4a05-93eb-5b78a3efab5b,Oct-24
172,cb670b18-30c6-440b-95e7-797038e9625f,Dec-23
173,554bdd0a-7b88-4333-b665-a7c65b8e7884,Sep-23
174,1497afb0-4262-4f67-ae02-d74e82a33530,7:30-11:45
175,9a4d6273-64de-4781-afe3-aaaf16fffcf0,12-15/18-22
176,af1f1c2b-2451-4a2b-8eba-b5c3a3dec48f,Nov-24
177,9827032d-46d4-4c17-9066-575f61f878eb,Dec-23
178,b56c1ca6-b6ae-496a-b17d-44eeec661889,20:30-23
179,1bf81ed8-1727-47ca-b677-5d4b256b7e04,Nov-24
180,6a1c0e7e-b25b-4675-9f6d-f9bdead6d132,Nov-23
181,757a5631-3070-433b-8481-76fa05dfb4cb,Dec-23
182,1c068621-990a-4b6c-9e5f-44f94dd6b58f,Jul-24
183,1308433a-2fee-4625-be69-e24c4b6a2ef8,Nov-23
184,5c68ec9a-f6cf-407d-8206-823fd8eef37a,10-23:30
185,9f5c7a2b-4c70-4104-a937-d54308e1be8f,Nov-24
186,80f72534-9c9e-4459-bc4a-9be86d506f53,Oct-24
187,7a304f8a-b286-4bf9-8f43-84a8d99b2fed,Nov-24
188,a6b6b17b-2863-4abb-bf95-d6babc423e6f,Oct-24
189,d2cf9e0a-28be-4822-bdb9-783341503960,Dec-23
190,385ac42e-6aea-44cf-a861-744c594f2741,Sep-22
191,f105f40b-a464-408b-9272-21ac353399e0,Dec-15
192,15e977c7-8677-47cf-a885-9df399924e47,Nov-24
193,084a7edf-bfa6-463c-99ea-c7d107be9909,Dec-24
194,a6934e63-af30-4245-9fb5-41cb22d50784,Aug-23
195,ab6f77af-a30f-4e95-9316-4dfcb9dc25e3,Nov-24
196,06cc8f89-899c-4f97-8278-e70e3693a91f,Nov-23
197,e61979de-42d7-42bf-9aa7-d5fd7ea3929b,Nov-23
198,9cc50c8e-898a-4cd4-9c6f-11715a4af6d2,11-13-15-22
199,386595a7-c030-4e3f-9658-a21a46b496e7,10-23:30
200,211fd8e5-8836-409b-91df-e730d9721625,Nov-24
201,749637dc-bb5d-4261-9fb1-b2f69bc71f69,Oct-22
202,6d9de576-8889-4e09-b73f-86f983b2c435,Oct-24
203,1f612165-8748-4eb5-866e-8ecb483cde21,Dec-24
