,id,name
116,746007ed-eb32-453b-b84e-572fffde14c2,بلینسکی
117,156c2c0e-4635-42d6-973e-8d657738710c,رئیس (جم)
118,68e764da-9578-4279-bf07-c50acb9cd05f,باماهاس(کریمخان)
119,a1870915-dce1-4529-b841-2e11ccb2905e,ایست
120,86ffe762-5b6a-4404-9241-cf9a47934cc8,کلاور
121,43b95152-dd00-4894-9c5e-2d77fb691310,مستقل
122,d65e9594-d7d1-4a67-ac38-d19657528835,چف
123,71cbc4eb-1b38-418d-b63b-86a78e44c49b,آلندا
124,f4a194f5-362e-4c16-84fe-d5c5f9d01001,ماهور
125,da25c38e-a253-108c-c695-81a68cbd52f0,خانه هنرمندان
126,3ac8ea6f-c98b-480d-91ce-84c565295778,راک (سمیه)
127,72e47b73-bc17-4d34-a5d1-647ab1b9f540,برانچ تو
128,734c9a22-5dc1-4acc-9fa0-e7773e41e347,دیگ و دلبر
129,8c423af9-8f6d-4304-8590-1606fa2b45b6,نزدیک کتاب
130,3e376d50-d5b7-40a9-819c-d875cb725a1e,هفت خوان شاندیز
131,1376667a-81d0-4e3f-a84f-21ce0f047185,پنتری(قائم مقام)
132,510f360f-29e6-4577-9f99-b1337a433d7d,روحی (کریمخان)
133,5945cbc4-209a-4e43-9d05-2d522378d9be,گذر
134,a638df49-0ebf-4273-a3a0-e67f16c7ee1c,انقلاب
135,dcb3cd66-5f12-4618-9f6d-18d7bed9a443,برادران محمدزاده
136,82215db5-7e7a-401e-b5a9-5bd9fd0eaff2,سفره خانه سنتی کریمخان
137,a9ac8a1e-bd0f-4c39-98ae-274a06e96986,پیتزا ادبرت
138,3f60e351-e401-4e43-8b96-8d452cdc7d93,طهرون (ایرانشهر)
139,1277462f-28e7-4989-ba3e-f3184b998187,طهرون (ایرانشهر)
140,22f264c1-9371-4302-8130-ff9dac8541d9,تایپ
141,22c937bd-fdc7-4309-ab91-8ca5419b7ca8,سوخاری طلایی
142,2c14649a-98c3-40fa-8eeb-3a419fce159c,قجری
143,4d12d9df-45a8-419a-9f4c-2902fc1a22f0,اغذیه کوروش
144,4c3a29a1-0bab-46f7-8302-ccf97ccab2f5,تبلیغات
145,63323444-db54-45c3-a9a9-df6910039d03,کایوتی
146,1d6fc832-5ee5-482d-9265-f13ab294c012,پیچ شمران
147,aa4f321d-54c4-4c11-83be-bf221c3a8865,مهربان
148,dfcf60f0-7a2a-f04d-cdf4-3c691ee413db,دیزی سرا ایرانشهر
149,5a9c4323-abe0-49ed-b3e4-d7e03bb5e5a3,اغذیه بهار
150,14d7f7ec-5f98-441b-b74c-139419f429ca,تراس ایده
151,47d98d07-a310-4416-9744-c1bec1de56e1,آپ آرت مان
152,def0d19d-068a-47d5-9425-7ef3fc60700b,مزه (سهروردی)
153,aa8a5d16-6329-4251-9b20-ea3f20a13e66,هرما
154,84c86aca-6ad0-4be4-adf6-d22c262b8adf,پیروک
155,d4d31aa7-a5da-47b9-afc0-968d40c58516,سام کافه (سنایی)
156,4f4e24e5-350c-42e1-9ab7-a2b1d609d115,سهند
157,2e8540ac-03ad-43df-9fba-b60300ec7eaa,قناری
158,579f88f2-2d41-4c87-83da-46b6d2e42ee7,پریسکا
159,f2fe142e-0372-4c8a-8cdc-576935bca4d8,ایران ایتالیا (سهروردی)
160,792940e1-04e9-498b-a4d5-af743a90924f,رویال گلکسی
161,4cb8a4c4-2941-4e90-83d2-f5522a6b6aae,پامچال (هفت تیر)
162,58c10a11-8fc4-4485-9eb7-050a95de552d,نیکو
163,38d66985-4530-4ac2-9ff2-d1a79fad1057,ب لین
164,8123d035-c047-4c03-8bb7-37dd44136c53,ولگا
165,2fb7ac25-26b2-41a3-825a-7bd831739a5a,کوچه (موکا سابق)
166,215cd971-703e-46c4-9040-aa1aa64298a5,خانه تست
167,e1a1c98a-6887-4dc8-936f-036c23e98d4b,یانکی
168,2252bc78-55ad-4042-9966-c30182d62b62,مجلسی
169,d7fe8d2d-15a4-4556-aaea-fe583d7766ee,ایده کونفه
170,7ead2673-90a6-4abf-a7ce-c14351eb6bcc,هتل پرشین پلازا
171,221e41af-1118-4e37-8a40-799032f9e797,پیزاریوم
172,6769ded6-9211-4f5a-a5a0-a48f457302ab,آژمان لانژ
173,354abbdb-4388-465c-b36b-a2388dc168be,کافه بازی گیک
174,749f1b73-f155-4dc8-83f0-a563903c5906,بوردیکا
175,1a661eca-833b-4a55-af98-269571664cce,اوریانت
176,3375f731-2959-4039-852e-ae32da59df97,سیب 360 (عباس آباد)
177,94f1a9ef-10c0-441f-9078-0dfd63f00b58,چ
178,8abad105-3abf-4124-976e-bd5ed629a921,هارمونی
179,58ebbfb2-a507-45a2-8df8-53001ea7e142,کرگدن
180,5e27a54f-a1b0-482a-bc11-a2e4208c027d,رنگ
181,f3f3aff2-483c-4f47-84ba-0843a08cb4dc,پیتزا پیشخوان
182,a0a10cf2-ee0f-41d9-9b12-9437898e47e4,خانه بستنی سی دا 
183,23b84906-2786-42e1-9c82-a8decda157a0,دربار
184,f41c6395-64e6-4a6d-bafe-372e6a5039aa,دربار
185,1f396fed-e1d5-42e6-ac28-effaf4325a54,فیشرآباد
186,fe8293ab-1dd7-4a29-8395-f6233666a6e0,دایس
187,34ae9ddf-ae6b-47b5-bb02-8e9f90070dba,عمارت گود
188,d615b97d-3d73-44b0-b953-0a81c83c72d0,فردیس (سوئیس سابق)
189,740d71c7-262b-4598-92c5-3ae9c65dcb22,هتل اسکان
190,c82489c7-6012-49bf-ab40-217dabb8e7a4,تاپس
191,4ba5e1d9-0b89-4809-b9a1-eb3867b17c86,دفینه
192,f46dfcd6-8259-49a8-a82f-6b3634b585a9,هاب
193,77580e31-989e-472b-aa54-4ae45dfd707a,طباخی کریمخان
194,8c266a4b-dec8-4f1e-9734-c977a9ac8024,پارسی
195,0444adcb-ecc2-44cd-8a51-9c7b4c89b951,رافائل
196,f6a80fff-0612-40db-a98e-3306d93a23da,بان
197,179974b9-f410-460c-b4b7-f9abb443dbe2,چاپاتی
198,b93d2b80-c2bb-e7b3-318c-bdf73830e3d7,آرارات
199,ac0d291e-8179-43fc-b81a-f66b0b9269f8,مری
200,19227cec-5c3f-440b-8511-0bc6afcac49c,شادی 
201,a5a89a7e-f411-4028-8f46-17f0894b3631,کد
202,2538f636-f308-46f9-a996-478ab92e9497,وال
203,e0b44003-e2e9-44b6-bfcf-e85a8f05cdbc,هریک
204,22a7b58d-b9ae-4043-a224-8f12b151e288,اغذیه مقدم (شعبه 1)
205,6af16ad1-ecfb-4ac3-8bb2-3fff0f511083,کاریزنو
206,55471047-307f-439e-ae10-88c1555be5bc,شب های لاله زار
207,67ba7926-e3f9-4f02-b6cc-b53305a104de,ابن سینا
208,5cd2d453-69d6-4c79-ba25-d00f0fe5785b,نشاط
209,0febe9bd-51d4-4afe-afe5-6efb5b01bdbd,یاما
210,09a83135-98af-46ca-ad0c-a17810158761,نصف جهان (انقلاب)
211,94cfe4a8-70cd-44fc-9608-bb8a68813de3,بالا
