,id,name,image,types,styles,latitude,longitude,isSpecialPin,rating,priceClass,address,hasOffer,city,isClubMember,slug,HasReservation,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,ایرانی,فرنگی,کافه,فست فود,شیرینی فروشی,ایتالیایی,پیتزایی,کبابی,برگر,طباخی,آش و حلیم,نان و شیرینی,گیلکی,بوفه ,کافی بار,ساندویچی,بستنی فروشی,عربی,تهیه غذا و کیترینگ,سفره خانه,آبمیوه فروشی,بوتیک کیک,هندی,مکزیکی,گیاهی,غذای دریایی,ترکیه‌ای,گریل,فودکورت,قهوه‌خانه,اسنک و شیرینی,فینگرفود,مدیترانه ای,سلف سرویس,فرانسوی,آسیایی,تایلندی,غذای سالم و گیاهی,لبنانی,باربیکیو
253,4518d12a-9a0c-43c2-a6f6-e6669ee0387a,کوبابا (ایران مال),https://2.fidilio.com/storage/Images/thumbs/a968cdfb-a771-41f4-92d4-a543d8161f25.jpg,[1],"['عربی', 'ترکیه\u200cای', 'ایرانی']",35.7531052,51.1931953,False,0.0,2.0,بزرگراه شهید خرازی،بازار بزرگ ایران مال،طبقه  G0,False,تهران,False,kubaba_iranmall,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
254,391f2638-4fdc-4da3-a4b7-599100966dfb,پامچال,https://2.fidilio.com/storage/images/thumbs/391f2638-4fdc-4da3-a4b7-599100966dfb_0.jpg,[1],['ایرانی'],35.91453,51.0431671,False,7.5,2.0,جاده چالوس کیلومتر 15,False,وینه,False,pamchl-chalus,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,1c9de3cc-e988-4d25-94d3-8077e6d35485,دکتر کله,https://2.fidilio.com/storage/Images/thumbs/6a25f64a-5416-4b9c-b9a7-7716070fb9db.jpg,[1],['طباخی'],35.7530556,51.1973076,False,8.199999809265137,2.0,اتوبان همت غرب، میدان دریاچه، بعد از چهارراه طبیعت، بلوار میعاد، برج لبخند,False,تهران,False,dr_kalle,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,15041e60-4895-4634-bce8-381a29bc204e,بوم ,https://2.fidilio.com/storage/images/Thumbs/68c64d9d-c6b9-44b4-a0b6-f7f9a4fa714b.jpg,"[1, 2]","['فرنگی', 'ایتالیایی', 'کافه']",35.7679558,50.8388252,False,0.0,2.0,اشتراکی شمالی، ابتدای جاده آتشگاه,False,شهرک مروارید,False,bom_karaj,False,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,175ba25d-9df0-47a6-9442-2c587572cad1,استیج,https://2.fidilio.com/storage/Images/thumbs/e754277b-bab2-4d82-852e-ef3aa281b2e5.jpg,"[1, 2]","['ایتالیایی', 'کافه']",35.7482529,51.20605,False,0.0,2.0,میدان دریاچه، بلوار میعاد غربی، درب اصلی دریاچه، استیج غربی، پلاک 11,False,تهران,False,stage,False,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,a519c3c2-e64e-4852-a842-b474ac554fe5,کشتی رافائل,https://2.fidilio.com/storage/Images/thumbs/2b017510-c770-4f63-809e-19bf1aa1e22f.jpg,[1],['ایرانی'],35.7516,51.21102,False,6.699999809265137,2.0,"همت غرب، میدان دریاچه، خ جوزانی شرقی، جنب پارکینگ شمالی
",False,تهران,False,keshtirafael,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,28e76d00-a4b4-430e-8521-005ce5c2bfd5,مجتمع گردشگری و رستوران سران,https://2.fidilio.com/storage/Images/thumbs/2ce1fea9-16b6-4cb4-b40c-3e70ec380540.jpg,[1],['کبابی'],35.62495,51.075737,False,3.799999952316284,2.0,شهریار جاده کهنز دور برگردان اسد آباد لاین کندرو جنب گلخانه امین,False,شهریار,False,saraan,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,a43698f1-147f-4654-9197-be57ef3c1084,ژوبین,https://2.fidilio.com/storage/Images/thumbs/c7c7aef5-6e1c-44d9-b57e-69c7844fdc93.jpg,[1],"['پیتزایی', 'فست فود', 'برگر']",35.72607,50.8361778,False,8.199999809265137,2.0,محمدشهر، همایون ویلا، روبه روی باغ سیب,False,ماهدشت,False,zhobin,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,3985674a-a5b9-4407-9f4b-4ab68ed2738e,شایلین ,https://2.fidilio.com/storage/Images/thumbs/0fa7c371-b1d7-4878-87bc-f5b9186a9f8a.jpg,[1],['فست فود'],35.7565765,51.2169876,False,0.0,2.0,"چيتگر، ميدان ساحل، خيابان شمس تبريزى، برج تماس، طبقه دوم،
",False,تهران,False,shailin_restaurant,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,71e7f715-f3de-49f1-966c-92d3a2008fff,آبشار تهران,https://2.fidilio.com/storage/images/thumbs/71e7f715-f3de-49f1-966c-92d3a2008fff_0.jpg,[1],['ایرانی'],35.7700653,51.219574,False,7.099999904632568,2.0,انتهای اتوبان همت اتوبان شهید خرازی خیابان شهید جدی اردبیلی بوستان آبشار ورودی پارکینگ 4 و 5 بعد از گیت دوم نگهبانی,False,تهران,False,abshar_tehran,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,1fc13e3b-8275-476c-b855-96ed8705a44e,دانتیسم,https://2.fidilio.com/storage/Images/thumbs/77ea7d79-93f7-4643-b016-bd8563625316.jpg,[2],['کافه'],35.7488823,51.22048,False,7.0,2.0,میدان المپیک،انتهای خیابان هوانیرو،میدان صدف،انتهای خیابان صدف،پلاک3,False,تهران,False,downtism,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,41e7d32e-8881-4850-8441-631511af0d6e,ویکولو(بام لند),https://2.fidilio.com/storage/images/Thumbs/4e937d66-a20e-4ab5-9db2-7343a75c89c0.jpg,"[1, 2]","['فرنگی', 'کافه']",35.7463722,51.2211151,False,0.0,2.0,انتهای همت، بزرگراه خرازى، بلوارموج،میدان موج،میدان صدف،خیابان هوانیروز,False,تهران,False,bamland,False,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,c5deea42-16b5-46b9-bf45-4cb08e2925c1,ویکولو (بام لند ) ,https://2.fidilio.com/storage/Images/thumbs/9716ec4a-0f3e-4fd7-a22a-84538a301033.jpg,"[1, 2]","['ایتالیایی', 'کافه']",35.74692,51.2213554,False,7.199999809265137,2.0, بزرگراه همت غرب ، دریاچه چیتگر ، مجتمع بام لند ، بلوک A ,False,تهران,False,vicolo_bamland,False,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,488f9706-9f38-4063-bbe6-8d927f4f3419,ونوشک,https://2.fidilio.com/storage/images/Thumbs/24b593d7-822a-4d00-a669-f9051029c8eb.jpg,[1],['ایرانی'],35.74643,51.2212029,False,5.400000095367432,2.0,دریاچه شهدای خلیج فار، مجتمع بام لند,False,تهران,False,vanoshak,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,de738fa7-73c1-45eb-8d11-4b8e0ba386d2,شاندیز (باملند),https://2.fidilio.com/storage/Images/thumbs/e252b88a-2989-432f-b832-4abc09dd3157.jpg,[1],['ایرانی'],35.74612,51.2214737,False,4.400000095367432,2.0,کاشانی جنوب،بلوار موج، بلوار صدف،مجتمع باملند,False,تهران,False,shandiz_bamland,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
