,id,name,image,types,styles,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,latitude,longitude,isSpecialPin,rating,priceClass,address,city,hasOffer,isClubMember,slug,HasReservation,ایرانی,کافه,شیرینی فروشی,سفره خانه,قهوه‌خانه,کبابی,تهیه غذا و کیترینگ,فست فود,بستنی فروشی,آبمیوه فروشی,پیتزایی,برگر,ترکیه‌ای,ساندویچی,بوتیک کیک,غذای سالم و گیاهی,آش و حلیم,نان و شیرینی,طباخی,ایتالیایی,فرنگی,غذای دریایی,چای خانه,فودکورت,کافی بار,گیلکی,لبنانی,باربیکیو,گیاهی,مکزیکی,هندی,بوفه ,عربی,سلف سرویس,گریل,اسنک و شیرینی,فینگرفود,مدیترانه ای,فرانسوی,آسیایی,تایلندی,فالوده ,غذای سلامت,قلیان سرا,مراکشی ,ژاپنی,مغولی,چینی,اسنک و شورینی
20,034894cb-00bb-4f9b-a218-9dd998280fda,ملاقه (تبریز),https://2.fidilio.com/storage/Images/thumbs/9327f1ea-fa77-442f-96f6-f5db60dc8a4f.jpg,[1],['آش و حلیم'],1,0,0,0,0,0,0,0,38.0254478,46.37372,False,0.0,1,ائل‌گلی، کوی باغچه‌بان,تبریز,False,False,malaghe_tabriz,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8ebcb6da-9d6c-4a69-9dc8-fcbc689d1a83,داملا,https://2.fidilio.com/storage/Images/thumbs/d0f0db57-6c45-4919-a2ae-45b3d7bd5cd3.jpg,[1],['ایرانی'],1,0,0,0,0,0,0,0,38.02155,46.36188,False,0.0,2,شاه گلی ،میدان اصلی،رو به روی شهر بازی ، پشت مسیره مترو ، 500 متر با لاتر ،کوی پیام ,تبریز,False,False,damola,False,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7ed4a732-0e15-424e-a9da-421c0fe2d90c,غزال (تبریز),https://2.fidilio.com/storage/Images/thumbs/0f148596-7331-4c3b-950a-04a583a1aa4e.jpg,[1],['آش و حلیم'],1,0,0,0,0,0,0,0,38.0288,46.3758659,False,0.0,2, فلکه یاغچیان.، جنب ایستگاه اتوبوس,تبریز,False,False,ghazal_tabriz,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,cc4c9ff5-2791-4e18-942a-db0e683b3443,عمارت,https://2.fidilio.com/storage/images/thumbs/cc4c9ff5-2791-4e18-942a-db0e683b3443_0.jpg,[2],['کافه'],0,1,0,0,0,0,0,0,38.02567,46.365696,False,7.699999809265137,2,پارک ائل گلی، عمارت شاه گلی,تبریز,False,False,emarat,False,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,a6224241-e669-4ec0-99d3-d9435defaa42,آسمان,https://2.fidilio.com/storage/images/thumbs/a6224241-e669-4ec0-99d3-d9435defaa42_0.jpg,[1],['ایرانی'],1,0,0,0,0,0,0,0,38.03855,46.37443,False,8.1,2,تبریز، جاده باسمج، بالاتر از ورودی پرواز نرسیده به قائم، رستوران آسمان,تبریز,False,False,asemantabriz,False,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2669abad-9e48-49a6-b11d-7a0035b064e1,آقاجون (تبریز),https://2.fidilio.com/storage/Images/thumbs/cd61f9f1-16cf-419d-8cb4-37e914ea5f49.jpg,[1],['ایرانی'],1,0,0,0,0,0,0,0,38.0403175,46.3717155,False,8.100000381469727,2, جاده باسمنج، بالاتر از ورودی پرواز، مقابل پارک شمیم پایداری، نرسیده به یاغچیان,تبریز,False,False,aqajoon_tabriz,False,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2259a7a2-0fdf-465b-b84b-ce01bfa4d2d4,بالیق (تبریز),https://2.fidilio.com/storage/Images/thumbs/b77e96a0-670e-46b8-b058-24d71ded7bfc.jpg,[1],"['غذای دریایی', 'ایرانی']",1,0,0,0,0,0,0,0,38.0376129,46.36242,False,0.0,2,"جاده ائل گلی، خیابان صادقی، گلشهر، نرسیده به سه راهی بیمارستان شهدا

",تبریز,False,False,baligh,False,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,221b4c9c-258d-4f95-9d32-df26b4244107,کبابچی (تبریز),https://2.fidilio.com/storage/Images/thumbs/65d11289-564c-40cd-97bf-4a22f1cd342e.jpg,[1],['ایرانی'],1,0,0,0,0,0,0,0,38.0408173,46.37103,False,0.0,2, شهرک پرواز، بلوار ملکی تبریزی,تبریز,False,False,kababchi_tabriz,False,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,f877f1b2-8cae-4711-84a6-65b34c329bb1,بور برگر (تبریز),https://2.fidilio.com/storage/Images/thumbs/fee26fe6-e279-48a5-bda7-c2ab6b4a254d.jpg,[1],['فست فود'],1,0,0,0,0,0,0,0,38.0411377,46.3708878,False,6.699999809265137,2, بلوار ملکی تبریزی، کوی پرواز,تبریز,False,False,bourburrger,False,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,c79f0623-bd61-4182-8481-3f01795ec5c7,ماهی قزل اوزن,https://2.fidilio.com/storage/Images/thumbs/88fddeb4-5b08-4872-ac01-8885165a783d.jpg,[1],['غذای دریایی'],1,0,0,0,0,0,0,0,38.0462837,46.3707275,False,0.0,2,هتل مرمر،اول خیابان استادمعین,تبریز,False,False,mahighezelozan-tabriz,False,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
