,Unnamed: 0,id,name,image,types,styles,latitude,longitude,isSpecialPin,rating,priceClass,address,hasOffer,city,isClubMember,slug,HasReservation,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8
57,57,a7b17694-a140-4908-b2e8-b661702b084b,ناندوز,https://2.fidilio.com/storage/images/thumbs/a7b17694-a140-4908-b2e8-b661702b084b_0.jpg,[1],['فست فود'],36.31221,59.51447,False,7.6,2,بلوار کوثر ، نبش کوثر شمالی 28,False,مشهد,False,nandos-kosar-mashhad,False,1,0,0,0,0,0,0,0
58,58,a80ddb95-43ac-43cb-8839-56fc7b0c2a79,آنسه,https://2.fidilio.com/storage/images/thumbs/a80ddb95-43ac-43cb-8839-56fc7b0c2a79_0.jpg,[1],['فست فود'],36.3188,59.51192,False,7.4,2,بلوار هاشمیه، نبش هاشمیه ۱۰,False,مشهد,False,anseh-mashhad,False,1,0,0,0,0,0,0,0
59,59,042d691b-67ed-4a7c-b4cb-872839364c07,راستگو,https://2.fidilio.com/storage/images/thumbs/042d691b-67ed-4a7c-b4cb-872839364c07_0.jpg,[1],"['کبابی', 'ایرانی']",36.3245125,59.512413,False,7.900000095367432,3,بلوار وکیل آباد ، بین وکیل آباد 23 و25 ,False,مشهد,False,rastgoo-mashhad,False,1,0,0,0,0,0,0,0
60,60,0b190425-eef2-469f-aa9f-b4434b4c06a7,خانه استیک تنور (مشهد),https://2.fidilio.com/storage/Images/thumbs/9110ddd8-3510-4030-b959-fb0e66f0ec2b.jpg,[1],['فرنگی'],36.32458,59.51225,False,0.0,2,خیابان شهید کلانتری، انتهای نوفل لوشاتو، جنب استخر راد,False,مشهد,False,steak_house_mashhad,False,1,0,0,0,0,0,0,0
61,61,6dfb1def-defb-40fb-9eca-f2036e89003f,برگو,https://2.fidilio.com/storage/images/thumbs/6dfb1def-defb-40fb-9eca-f2036e89003f_0.jpg,[1],['ایتالیایی'],36.3236237,59.5119324,False,8.399999618530273,3,بلوار وکیل آباد،بين هنرستان و هاشمیه،نرسیده به سامانيه ,False,مشهد,False,bergoo-mashhad,False,1,0,0,0,0,0,0,0
62,62,a5f783d9-f586-4395-99c5-29cf4c30d41b,کلبه,https://2.fidilio.com/storage/images/thumbs/a5f783d9-f586-4395-99c5-29cf4c30d41b_0.jpg,[1],"['فرنگی', 'ایرانی']",36.3153763,59.5094147,False,7.800000190734863,3,بلوار وکیل آباد، بلوار هاشمیه ، نبش هاشمیه 18,False,مشهد,False,kolbe-mashhad,False,1,0,0,0,0,0,0,0
63,63,8079beee-b3e2-42db-8446-c52a8cb795c1,گیاهی خانه,https://2.fidilio.com/storage/images/thumbs/8079beee-b3e2-42db-8446-c52a8cb795c1_0.jpg,[1],"['غذای سالم و گیاهی', 'گیاهی', 'غذای سلامت']",36.30941,59.50896,False,6.699999809265137,2,بلوار هاشمیه  ، هاشمیه 28 ، پلاک 36,False,مشهد,False,veganhome-mashhad,False,1,0,0,0,0,0,0,0
64,64,2377c0f4-fcd8-43d0-853a-8f15024b1367,رابو (مشهد),https://2.fidilio.com/storage/Images/thumbs/2e3e9c41-5929-498b-9594-75bb044965e5.jpg,[1],['ایتالیایی'],36.30962,59.50883,False,0.0,2,هاشميه ٢٨، نبش 3/28,False,مشهد,False,rabo_mashhad,False,1,0,0,0,0,0,0,0
65,65,5051f568-afaf-4e31-a867-f39265716d1c,سولو (مشهد),https://2.fidilio.com/storage/images/thumbs/5051f568-afaf-4e31-a867-f39265716d1c_0.jpg,[1],['غذای دریایی'],36.3111076,59.5071678,False,7.5,2,مشهد،هاشمیه 28 ،پلاک 80,False,مشهد,False,solomashhad,False,1,0,0,0,0,0,0,0
66,66,c08cd008-4de5-4f8c-9de2-945454ecee29,میچکا(مشهد),https://2.fidilio.com/storage/images/thumbs/c08cd008-4de5-4f8c-9de2-945454ecee29_0.jpg,[1],"['فرنگی', 'ایرانی']",36.3217163,59.5072136,False,6.900000095367432,2,بلوار وکیل آباد، بلوار هنرستان، نبش هنرستان ۸,False,مشهد,False,michka,False,1,0,0,0,0,0,0,0
67,67,4655dfb2-b7c2-40bc-8414-155c92741257,چیلی چیز,https://2.fidilio.com/storage/images/thumbs/4655dfb2-b7c2-40bc-8414-155c92741257_0.jpg,[1],['فست فود'],36.3251266,59.5004234,False,6.3,2,بلوار هفت تیر، خیابان هفت تیر ۶، قطعه دوم، سمت راست,False,مشهد,False,chelicheese-mashhad,False,1,0,0,0,0,0,0,0
68,68,167e1710-a50a-4145-90db-162ad14a8649,مهستان شاندیز,https://2.fidilio.com/storage/images/thumbs/167e1710-a50a-4145-90db-162ad14a8649_0.jpg,[1],['ایرانی'],36.32366,59.4995232,False,7.199999809265137,3,بلوار هفت تیر ، هفت تیر 8 (گلشن) ، روبروی برج آرمیتاژ,False,مشهد,False,mahestan-shandiz-mashhad,False,1,0,0,0,0,0,0,0
69,69,267e35c0-d19c-4cd1-a56e-a7ec70360abd,فود باکس,https://2.fidilio.com/storage/Images/thumbs/0554e7bd-4476-44f5-9a01-1f48c9eec99e.jpg,[1],['فرنگی'],36.31178,59.49773,False,0.0,2,بلوار هنرستان ، نبش هنرستان 33,False,مشهد,False,foodbox-mashhad,False,1,0,0,0,0,0,0,0
70,70,76782e3b-1a59-481b-a520-75db35320ed9,ویو(مشهد),https://2.fidilio.com/storage/images/thumbs/76782e3b-1a59-481b-a520-75db35320ed9_0.jpg,[2],['کافه'],36.3008957,59.49678,False,0.0,2,انتهای هاشمیه.مجتمع کوهسر.ورودی b.روبه روی تالار.درب۷,False,مشهد,False,View,False,0,1,0,0,0,0,0,0
71,71,a287ca60-7026-42b2-af99-cebdace23d19,گندم,https://2.fidilio.com/storage/Images/thumbs/aaf04377-1056-4b59-8e3f-bdf76b7d9039.jpg,[1],['فرنگی'],36.3091049,59.49344,False,8.1,2,هاشمیه 65 ، ما بین بهار 9 و 11 ,False,مشهد,False,gandom,False,1,0,0,0,0,0,0,0
72,72,e115d315-84ad-4c1c-abcd-b3816543f873,شبدیز,https://2.fidilio.com/storage/images/thumbs/e115d315-84ad-4c1c-abcd-b3816543f873_0.jpg,[1],['فست فود'],36.3193321,59.4939156,False,9.5,2,بلوار هفت تیر ، نبش هفت تیر 15,False,مشهد,False,shabdizfastfood-mashhad,False,1,0,0,0,0,0,0,0
